,riding,Ave_Age_All,Ave_Age_Male,Ave_Age_Female,bike_rate,pop,NoPostsecondary_all,NoPostsecondary_male,NoPostsecondary_female,french,HouseNeed,income_all,income_male,income_female,unemploy_all,unemploy_male,unemploy_female,Constituency,Province / Territory,First Name,Last Name,Political Affiliation
309,Abbotsford--South Langley,42.4,41.1,43.6,0.6,116385,55.1,56.7,53.5,0.8,7.2,37600,44800,32800,8.1,7.2,9.3,Abbotsford—South Langley,British Columbia,Sukhman,Gill,Conservative
39,Abitibi--Baie-James--Nunavik--Eeyou,37.2,36.9,37.6,0.7,89085,55.7,55.7,55.7,60.4,2,43200,48800,38800,6.2,6.8,5.4,Abitibi—Baie-James—Nunavik—Eeyou,Quebec,Mandy,Gull-Masty,Liberal
40,Abitibi--Témiscamingue,43.1,42.6,43.7,0.6,103735,45.5,45.9,45.1,94,2.3,42000,50000,35200,5.7,6.5,4.9,Abitibi—Témiscamingue,Quebec,Sébastien,Lemire,Bloc Québécois
16,Acadie--Annapolis,47.2,46.2,48.1,0.3,76200,51.7,55.4,48.1,12.6,6.2,33200,38400,29200,12.7,12.4,12.9,Acadie—Annapolis,Nova Scotia,Chris,d'Entremont,Liberal
28,Acadie--Bathurst,49.3,48.6,50,0.2,79580,54.1,55.9,52.2,81.4,2.6,34000,37600,30000,13.7,16.7,10.4,Acadie—Bathurst,New Brunswick,Serge,Cormier,Liberal
41,Ahuntsic-Cartierville,42,40.6,43.3,2.4,111510,33.9,34.1,33.7,50,3.6,37600,39200,36400,10.2,10.7,9.8,Ahuntsic-Cartierville,Quebec,Mélanie,Joly,Liberal
271,Airdrie--Cochrane,36.7,36.1,37.3,0.5,115240,40.7,41.3,40.1,1.9,4.2,50800,65000,40800,10.6,9.8,11.5,Airdrie—Cochrane,Alberta,Blake,Richards,Conservative
118,Ajax,38.6,37.6,39.5,0.3,126670,42,43.6,40.5,1.1,7.7,42400,47200,38800,13.4,12.3,14.5,Ajax,Ontario,Jennifer,McKelvie,Liberal
42,Alfred-Pellan,42.7,41.7,43.7,0.5,113175,39,39.9,38.2,58.5,2.2,42400,46000,39600,7.4,7.7,7.1,Alfred-Pellan,Quebec,Angelo,Iacono,Liberal
119,Algonquin--Renfrew--Pembroke,44.2,43.1,45.3,0.5,107420,49.6,52.9,46.4,4.9,3.5,42000,51200,35200,9.2,8,10.6,Algonquin—Renfrew—Pembroke,Ontario,Cheryl,Gallant,Conservative
43,Argenteuil--La Petite-Nation,43.5,43.1,43.9,0.2,109205,48.9,50.2,47.6,86.6,3.2,40800,44400,37200,7.9,7.5,8.2,Argenteuil—La Petite-Nation,Quebec,Stéphane,Lauzon,Liberal
120,Aurora--Oak Ridges--Richmond Hill,40.7,39.8,41.5,0.3,117750,34.1,34.7,33.5,0.7,8.2,40400,46000,36400,12.5,11.1,14,Aurora—Oak Ridges—Richmond Hill,Ontario,Costas,Menegakis,Conservative
3,Avalon,44.7,44.1,45.3,0,81735,44.7,45,44.4,0.2,3.2,38800,44800,34000,14.3,17,11.5,Avalon,Newfoundland and Labrador,Paul,Connors,Liberal
122,Barrie--Springwater--Oro-Medonte,42.2,41,43.3,0.5,115490,44.9,48.1,41.9,1.6,5.5,41600,47600,37200,12.1,10.2,14.3,Barrie South—Innisfil,Ontario,John,Brassard,Conservative
121,Barrie South--Innisfil,39.7,38.7,40.6,0.3,120380,47.7,50,45.4,1.5,6.9,42800,51200,37200,11.9,10.1,13.8,Barrie—Springwater—Oro-Medonte,Ontario,Doug,Shipley,Conservative
272,Battle River--Crowfoot,42.7,42,43.5,0.5,110215,52.7,54.8,50.7,1,8.8,41200,49600,35200,9.1,9.4,8.8,Battle River—Crowfoot,Alberta,Pierre,Poilievre,Conservative
256,Battlefords--Lloydminster--Meadow Lake,38.5,38,39.1,0.4,83255,57.3,62.3,52.4,0.9,7.1,39600,43200,36400,10.2,11.2,9,Battlefords—Lloydminster—Meadow Lake,Saskatchewan,Rosemarie,Falk,Conservative
123,Bay of Quinte,45.9,44.6,47.2,0.6,110155,49.3,52.4,46.4,2.4,4.7,38800,44000,34800,11.3,9.8,13,Bay of Quinte,Ontario,Chris,Malette,Liberal
124,Beaches--East York,40.8,39.8,41.7,3.1,109355,35.2,37.4,33.1,1.8,7.4,44000,46800,42000,13.4,13.3,13.6,Beaches—East York,Ontario,Nathaniel,Erskine-Smith,Liberal
44,Beauce,43,42.3,43.6,0.5,111035,46.4,47.9,45,97.2,0.8,40800,45600,35200,5,4.3,5.8,Beauce,Quebec,Jason,Groleau,Conservative
45,Beauharnois--Salaberry--Soulanges--Huntingdon,43.4,42.6,44.2,0.6,118475,47.7,49.2,46.2,86.5,1.7,40400,45600,35600,5.8,6.2,5.5,Beauharnois—Salaberry—Soulanges—Huntingdon,Quebec,Claude,DeBellefeuille,Bloc Québécois
46,Beauport--Limoilou,44.3,42.8,45.7,1.7,113660,38.5,37.5,39.6,91.9,1.6,40400,43200,37600,7.7,8.1,7.4,Beauport—Limoilou,Quebec,Steeve,Lavoie,Liberal
29,Beauséjour,45.6,45,46.3,0.2,88560,47.3,50.8,44,58.4,2.9,39600,43200,36400,10.3,11.7,8.8,Beauséjour,New Brunswick,Dominic,LeBlanc,Liberal
47,Bécancour--Nicolet--Saurel--Alnôbak,46.6,45.5,47.7,0.7,96435,44.8,45.3,44.3,96.8,0.8,38000,43600,32800,5.9,6.2,5.7,Bécancour—Nicolet—Saurel—Alnôbak,Quebec,Louis,Plamondon,Bloc Québécois
48,Bellechasse--Les Etchemins--Lévis,45.1,44,46.2,0.6,111740,39.2,39.4,39,96.3,1.8,42800,47200,38400,5.8,5.3,6.4,Bellechasse—Les Etchemins—Lévis,Quebec,Dominique,Vien,Conservative
49,Beloeil--Chambly,41.5,40.6,42.3,1,114555,36.1,38,34.3,90.9,1.6,48800,55600,42800,4.8,4.9,4.8,Beloeil—Chambly,Quebec,Yves-François,Blanchet,Bloc Québécois
50,Berthier--Maskinongé,45.5,45.1,45.9,0.4,108640,48.6,48.9,48.3,96.8,1.9,37600,42800,32800,6.1,6.5,5.7,Berthier—Maskinongé,Quebec,Yves,Perron,Bloc Québécois
51,Bourassa,41.1,39.8,42.3,0.7,105635,48.8,50.2,47.4,48.2,4.5,33200,34400,32000,10.9,10.9,10.9,Bourassa,Quebec,Abdelhaq,Sari,Liberal
273,Bow River,37.8,37.4,38.2,0.4,112770,56.1,57.4,54.8,0.8,5,43200,52000,35600,9.6,9.3,10,Bow River,Alberta,David,Bexte,Conservative
125,Bowmanville--Oshawa North,37.8,37,38.6,0.1,128535,41.9,44.7,39.3,1.5,5.1,45600,53600,39600,12.4,11.2,13.7,Bowmanville—Oshawa North,Ontario,Jamil,Jivani,Conservative
127,Brampton--Chinguacousy Park,39.2,38.2,40.2,0.3,115565,48.1,48.3,47.8,0.7,10.9,36800,40000,34000,13.8,12,15.9,Brampton Centre,Ontario,Amandeep,Sodhi,Liberal
126,Brampton Centre,39.5,38.6,40.5,0.3,109455,47.3,49,45.7,0.9,9.9,38000,41200,34800,13.7,11.8,15.9,Brampton East,Ontario,Maninder,Sidhu,Liberal
128,Brampton East,37.2,36.4,38,0.1,119210,48.4,48.9,47.9,0.2,8.2,33200,35200,31800,13.6,11.8,15.7,Brampton North—Caledon,Ontario,Ruby,Sahota,Liberal
129,Brampton North--Caledon,37.6,36.8,38.4,0.1,106760,45.1,46.2,44,0.5,8.6,37600,40800,35200,12.4,10.5,14.6,Brampton South,Ontario,Sonia,Sidhu,Liberal
130,Brampton South,37.3,36.4,38.3,0,113250,41.9,41.4,42.3,0.5,8,34800,37600,32400,13.7,12.1,15.6,Brampton West,Ontario,Amarjeet,Gill,Conservative
131,Brampton West,33.7,33.2,34.2,0.1,114255,41.5,43,40.1,0.7,8.2,38000,40800,35600,12.5,9.8,15.6,Brampton—Chinguacousy Park,Ontario,Shafqat,Ali,Liberal
241,Brandon--Souris,40.1,38.8,41.5,0.8,93930,52.2,56.2,48.2,1.2,4.4,40800,47200,36000,6.6,6.3,6.9,Brandon—Souris,Manitoba,Grant,Jackson,Conservative
132,Brantford--Brant South--Six Nations,41.6,40.5,42.7,0.4,121545,51,53.7,48.5,0.9,4.2,40000,45200,35600,11.9,10.6,13.4,Brantford—Brant South—Six Nations,Ontario,Larry,Brock,Conservative
52,Brome--Missisquoi,47.5,46.9,48.1,0.7,113915,42.3,43.4,41.1,82.9,1.5,40000,44800,35600,6.1,6.3,6,Brome—Missisquoi,Quebec,Louis,Villeneuve,Liberal
53,Brossard--Saint-Lambert,43.6,42.1,45,1.5,114290,31.3,31.4,31.2,45.3,2.9,42000,46000,38800,9,9,9,Brossard—Saint-Lambert,Quebec,Alexandra,Mendès,Liberal
133,Bruce--Grey--Owen Sound,45.8,44.9,46.8,0.6,113350,51.2,53.4,49,0.8,3.2,38000,42800,34400,9.1,7.8,10.6,Bruce—Grey—Owen Sound,Ontario,Alex,Ruff,Conservative
134,Burlington,45.1,43.4,46.5,0.8,125435,37.6,38,37.2,1.5,4.3,48000,55600,42400,10.8,10.3,11.4,Burlington,Ontario,Karina,Gould,Liberal
135,Burlington North--Milton West,37.5,36.7,38.2,0.3,125575,34,34.7,33.3,1.2,4.9,50400,61200,42800,10.7,9,12.5,Burlington North—Milton West,Ontario,Adam,van Koeverden,Liberal
310,Burnaby Central,41.8,40.8,42.7,0.9,120755,35.9,36.4,35.4,0.7,15.5,37200,41600,33600,9.9,9.2,10.7,Burnaby Central,British Columbia,Wade,Chang,Liberal
311,Burnaby North--Seymour,42.3,41.2,43.3,1.6,119305,35.9,35.9,35.9,1,9.1,44400,51600,39200,8.3,8,8.6,Burnaby North—Seymour,British Columbia,Terry,Beech,Liberal
274,Calgary Centre,39,39,39,2.5,120545,27.5,28.4,26.7,1.8,6.4,49200,55200,44400,11.5,10.8,12.4,Calgary Centre,Alberta,Greg,McLean,Conservative
275,Calgary Confederation,40.8,39.9,41.7,3.1,119505,30.2,31.2,29.2,1.5,5.7,46800,51600,42800,12,12.3,11.6,Calgary Confederation,Alberta,Corey,Hogan,Liberal
276,Calgary Crowfoot,38.7,37.9,39.4,0.4,117345,32,32.1,31.8,1.2,4.7,48000,58000,40800,11.8,11.8,11.8,Calgary Crowfoot,Alberta,Pat,Kelly,Conservative
277,Calgary East,40.4,40.1,40.8,0.6,119555,56.3,57.6,54.8,1.3,8.4,38400,42000,35200,15.5,15.1,15.9,Calgary East,Alberta,Jasraj,Hallan,Conservative
278,Calgary Heritage,41.6,40.5,42.6,0.4,119560,36.3,37.1,35.5,1.3,5.3,46000,53600,40800,12.6,12.7,12.6,Calgary Heritage,Alberta,Shuvaloy,Majumdar,Conservative
279,Calgary McKnight,36.6,36.2,37,0.1,123775,55.1,57,53.2,0.7,7.6,34400,37600,32000,15,14.1,16.1,Calgary McKnight,Alberta,Dalwinder,Gill,Conservative
280,Calgary Midnapore,40.2,39.3,41.1,0.4,118695,38.9,39.2,38.5,1.3,5,46800,55200,40800,11.9,11.5,12.3,Calgary Midnapore,Alberta,Stephanie,Kusie,Conservative
281,Calgary Nose Hill,41.3,40.5,42.1,0.7,117885,40.6,41,40.2,1,6,41600,46800,38000,13.7,13.8,13.5,Calgary Nose Hill,Alberta,Michelle,Rempel Garner,Conservative
282,Calgary Shepard,34.4,33.9,34.9,0.4,115085,36.6,37.8,35.4,1.3,3.9,54800,67500,45200,9.8,9.3,10.3,Calgary Shepard,Alberta,Tom,Kmiec,Conservative
283,Calgary Signal Hill,40,39,41,1.2,120190,31.6,32,31.2,1.4,5,49200,58800,42800,12,11.9,12,Calgary Signal Hill,Alberta,David,McKenzie,Conservative
284,Calgary Skyview,33.7,33.2,34.3,0,114655,39.9,40.8,39,0.9,5,42800,49200,38000,12.4,11.3,13.6,Calgary Skyview,Alberta,Amanpreet,Gill,Conservative
136,Cambridge,40.6,39.5,41.7,0.4,119500,50.5,50.9,50.2,1.1,4.2,41600,48400,36000,11.4,10.2,12.7,Cambridge,Ontario,Connie,Cody,Conservative
17,Cape Breton--Canso--Antigonish,46.7,46.1,47.3,0.2,75030,45.9,47.4,44.5,5.6,5.2,36000,39600,32400,17.4,18.3,16.3,Cape Breton—Canso—Antigonish,Nova Scotia,Jaime,Battiste,Liberal
4,Cape Spear,42.4,41.3,43.5,0.1,85165,40.5,42.8,38.4,0.4,4.2,42400,46400,39200,10.4,12.7,8.2,Cape Spear,Newfoundland and Labrador,Tom,Osborne,Liberal
11,Cardigan,42.5,41.7,43.3,0.2,39230,43,48.2,38.1,1.4,5,39600,42400,37200,10.1,10.3,9.9,Cardigan,Prince Edward Island,Kent,MacDonald,Liberal
312,Cariboo--Prince George,42.6,42.1,43,0.6,117150,54.3,54.8,53.7,0.9,4.5,40800,50000,34400,9.4,10.4,8.4,Cariboo—Prince George,British Columbia,Todd,Doherty,Conservative
137,Carleton,40.4,40,40.8,0.4,124305,34,35,33,7,3.7,58000,68000,49600,8.2,7.3,9.3,Carleton,Ontario,Bruce,Fanjoy,Liberal
257,Carlton Trail--Eagle Creek,39.1,38.6,39.6,0.3,84105,51.6,56.4,46.6,1.6,6.2,44800,54400,37600,5.6,5.4,5.9,Carlton Trail—Eagle Creek,Saskatchewan,Kelly,Block,Conservative
5,Central Newfoundland,48.5,47.8,49.1,0.1,74120,57.4,56.2,58.7,0.2,4.2,32400,38800,27800,20.2,23.5,16.7,Central Newfoundland,Newfoundland and Labrador,Clifford,Small,Conservative
18,Central Nova,46.1,45.2,47,0.1,76215,48.3,50.5,46.2,1.4,4.7,38000,44000,33200,12.4,11.8,13,Central Nova,Nova Scotia,Sean,Fraser,Liberal
54,Charlesbourg--Haute-Saint-Charles,43.3,42,44.5,0.6,113305,36.5,35.4,37.7,93.5,1.5,45600,50400,41600,6.4,6.1,6.7,Charlesbourg—Haute-Saint-Charles,Quebec,Pierre,Paul-Hus,Conservative
12,Charlottetown,42.4,40.6,44.1,0.6,38810,37.9,40.7,35.3,1.8,3.2,36800,38400,35200,9.7,10.3,9,Charlottetown,Prince Edward Island,Sean,Casey,Liberal
55,Châteauguay--Les Jardins-de-Napierville,41.3,40.6,42,0.6,114945,47,49,44.9,71.6,2.5,41600,46000,37200,6.4,6.4,6.4,Châteauguay—Les Jardins-de-Napierville,Quebec,Nathalie,Provost,Liberal
138,Chatham-Kent--Leamington,43.8,42.6,44.9,0.9,134225,56.4,59.6,53.4,1.9,3.6,38000,42800,33600,10.6,9.8,11.5,Chatham-Kent—Leamington,Ontario,Dave,Epp,Conservative
56,Chicoutimi--Le Fjord,45.3,44.2,46.4,0.4,92460,38,37,39,97.2,0.8,40400,48000,33200,6,6.1,5.9,Chicoutimi—Le Fjord,Quebec,Richard,Martel,Conservative
313,Chilliwack--Hope,42.7,41.7,43.6,1.1,119080,53.3,55,51.6,1,4.6,39200,47600,33200,7.1,6.3,7.9,Chilliwack—Hope,British Columbia,Mark,Strahl,Conservative
242,Churchill--Keewatinook Aski,31.9,31.8,32,0.3,82745,68.3,70.5,66.1,0.6,4.8,31000,30000,31800,14.3,15.5,13,Churchill—Keewatinook Aski,Manitoba,Rebecca,Chartrand,Liberal
314,Cloverdale--Langley City,38.8,37.8,39.7,0.4,117050,46.5,48.2,44.9,0.7,9,44800,53600,38800,7.3,6.4,8.3,Cloverdale—Langley City,British Columbia,Tamara,Jansen,Conservative
315,Columbia--Kootenay--Southern Rockies,45.1,44.6,45.7,1.9,117110,44.7,45,44.4,1.8,4.9,40400,48800,34000,8,8,8.1,Columbia—Kootenay—Southern Rockies,British Columbia,Rob,Morrison,Conservative
57,Compton--Stanstead,42.1,41.8,42.4,0.5,113285,40.9,42.7,39,85.6,1.1,41200,44800,37600,4.8,4.5,5.1,Compton—Stanstead,Quebec,Marianne,Dandurand,Liberal
316,Coquitlam--Port Coquitlam,40.8,39.9,41.7,0.8,114565,38.8,39.3,38.3,0.9,11.1,42000,49600,36400,8.2,7.8,8.7,Coquitlam—Port Coquitlam,British Columbia,Ron,McKinnon,Liberal
58,Côte-du-Sud--Rivière-du-Loup--Kataskomiq--Témiscouata,47.4,46.5,48.3,0.5,116215,45.2,45.5,44.9,98.2,2.6,37600,41600,33200,6.8,6.5,7.1,Côte-du-Sud—Rivière-du-Loup—Kataskomiq—Témiscouata,Quebec,Bernard,Généreux,Conservative
59,Côte-Nord--Kawawachikamach--Nitassinan,43.9,43.5,44.3,0.7,88525,48.6,47.1,50.2,84.9,2.1,43200,51200,36400,7.5,8.4,6.5,Côte-Nord—Kawawachikamach—Nitassinan,Quebec,Marilène,Gill,Bloc Québécois
317,Courtenay--Alberni,49.2,48.5,49.8,2,122815,45.8,46.8,44.9,1.6,5.3,38000,43600,34000,8.8,9.5,8.1,Courtenay—Alberni,British Columbia,Gord,Johns,NDP
318,Cowichan--Malahat--Langford,43.7,43,44.4,1.5,124105,46.3,48.2,44.6,1.3,4.6,42400,49200,37600,6.8,6.9,6.7,Cowichan—Malahat—Langford,British Columbia,Jeff,Kibble,Conservative
19,Cumberland--Colchester,46.4,45.5,47.2,0.3,82015,50.9,54.4,47.6,1,5.2,35200,39600,31800,12.7,12.8,12.5,Cumberland—Colchester,Nova Scotia,Alana,Hirtle,Liberal
20,Dartmouth--Cole Harbour,42.6,41.5,43.7,0.6,105020,40.7,43.4,38.3,2.9,4.4,42400,48000,38000,11.2,10.2,12.2,Dartmouth—Cole Harbour,Nova Scotia,Darren,Fisher,Liberal
139,Davenport,40.8,39.9,41.6,5.5,125050,44.1,46.6,41.7,1.3,10.1,39600,42800,36400,13.3,12.6,14,Davenport,Ontario,Julie,Dzerowicz,Liberal
319,Delta,43,42,44,0.9,117735,45.6,45.7,45.5,0.7,7.2,42400,49600,37200,7.4,6.8,8,Delta,British Columbia,Jill,McKnight,Liberal
258,Desnethé--Missinippi--Churchill River,30.9,30.7,31.1,0.3,37845,73.4,76.6,70.2,0.3,12.4,30000,27400,32400,18.6,21,16.1,Desnethé—Missinippi—Churchill River,Saskatchewan,Buckley,Belanger,Liberal
140,Don Valley North,43.2,41.5,44.8,0.3,111115,29.1,29.4,28.8,0.8,12.7,38000,41200,36000,13.7,11.7,15.8,Don Valley North,Ontario,Maggie,Chi,Liberal
141,Don Valley West,41.6,39.9,43.2,1.4,120580,33.4,34.2,32.6,1.3,9.8,41200,44800,38800,13.2,11.8,14.6,Don Valley West,Ontario,Robert,Oliphant,Liberal
60,Dorval--Lachine--LaSalle,42.1,40.7,43.4,1.1,114660,41.5,42.7,40.3,35.5,3.7,37200,38800,35600,10.3,10.4,10.2,Dorval—Lachine—LaSalle,Quebec,Anju,Dhillon,Liberal
61,Drummond,43.2,42.2,44.1,0.9,107965,46,47.1,44.9,94.5,1.2,38400,43200,34400,5.4,5.3,5.4,Drummond,Quebec,Martin,Champoux,Bloc Québécois
142,Dufferin--Caledon,40.8,40,41.7,0.2,120815,46.6,48.6,44.7,0.9,5.4,45600,54400,39200,10.4,8.6,12.4,Dufferin—Caledon,Ontario,Kyle,Seeback,Conservative
285,Edmonton Centre,41,40.5,41.6,1.8,115155,43.2,44.8,41.5,1.8,7.3,40800,44000,38000,14,14.3,13.7,Edmonton Centre,Alberta,Eleanor,Olszewski,Liberal
286,Edmonton Gateway,36.2,35.3,37,0.3,110170,38.5,38.5,38.4,1.4,5.1,46400,54400,39600,12.1,11.4,12.8,Edmonton Gateway,Alberta,Tim,Uppal,Conservative
287,Edmonton Griesbach,41,40.3,41.7,0.9,111125,54.8,55.4,54.3,1.6,7.2,37600,41200,34800,15.9,16.2,15.6,Edmonton Griesbach,Alberta,Kerry,Diotte,Conservative
288,Edmonton Manning,36.6,36,37.1,0.3,112175,50.4,50.8,50.1,1.6,5.1,44000,50800,38800,13,12.9,13.1,Edmonton Manning,Alberta,Ziad,Aboultaif,Conservative
289,Edmonton Northwest,37.2,36.4,37.9,0.3,112965,46.3,47.3,45.3,1.4,5.1,45600,53200,40000,12.3,11.8,12.7,Edmonton Northwest,Alberta,Billy,Morin,Conservative
290,Edmonton Riverbend,37.8,37.1,38.5,0.6,111605,31.6,32,31.2,1.2,4.7,52000,62800,44400,10.6,10.2,11.1,Edmonton Riverbend,Alberta,Matt,Jeneroux,Conservative
291,Edmonton Southeast,36.1,35.2,36.9,0.3,113210,44.5,45.1,43.9,1.3,4.9,40800,46400,36800,12,11.2,12.9,Edmonton Southeast,Alberta,Jagsharan Singh,Mahal,Conservative
292,Edmonton Strathcona,40.8,39.8,41.9,3,111545,35.1,37,33.2,2.8,5.4,44000,48400,40400,12.5,13.1,11.9,Edmonton Strathcona,Alberta,Heather,McPherson,NDP
293,Edmonton West,38.6,37.6,39.5,0.5,112940,39.9,41.2,38.7,1.4,5.4,47600,55200,42400,11.9,11.9,11.9,Edmonton West,Alberta,Kelly,McCauley,Conservative
143,Eglinton--Lawrence,41.4,39.6,43,1.2,115830,34.4,35.9,33.1,1,8,44000,49600,41200,12.2,11.2,13.3,Eglinton—Lawrence,Ontario,Vince,Gasparro,Liberal
13,Egmont,44.6,43.7,45.5,0.3,37755,55.6,60.8,50.8,6.7,3.6,37200,40400,34400,12,13,11,Egmont,Prince Edward Island,Robert,Morrissey,Liberal
144,Elgin--St. Thomas--London South,41.9,40.9,42.9,0.4,112450,50.5,53.3,47.8,0.9,2.9,41600,48000,36400,10.2,9.2,11.3,Elgin—St. Thomas—London South,Ontario,Andrew,Lawton,Conservative
243,Elmwood--Transcona,38.9,37.9,39.9,0.8,99365,51.2,53.3,49.2,1.9,4.7,40800,45600,36800,8.7,8.3,9.2,Elmwood—Transcona,Manitoba,Colin,Reynolds,Conservative
320,Esquimalt--Saanich--Sooke,43.3,42.4,44.1,4.2,120175,43.1,44.9,41.3,1.8,6,45200,51200,40400,6.4,6.5,6.2,Esquimalt—Saanich—Sooke,British Columbia,Stephanie,McLean,Liberal
145,Essex,42.5,41.7,43.3,0.4,131825,46.2,47.2,45.2,2.8,2.4,46400,54800,38800,12.3,11.8,12.9,Essex,Ontario,Chris,Lewis,Conservative
147,Etobicoke Centre,43.8,42.2,45.2,0.5,125605,36,36.1,35.9,1,8.2,44800,49200,41200,12.7,11.5,14,Etobicoke Centre,Ontario,Yvan,Baker,Liberal
146,Etobicoke North,39.9,38.9,40.9,0.4,116890,52.3,52.8,51.8,0.7,11.8,32800,34400,31600,16.3,14.7,18.1,Etobicoke North,Ontario,John,Zerucelli,Liberal
148,Etobicoke--Lakeshore,42.3,41.3,43.2,1.3,120955,32,34.1,30,1.5,8.6,48400,52800,45200,11.6,10.7,12.6,Etobicoke—Lakeshore,Ontario,James,Maloney,Liberal
149,Flamborough--Glanbrook--Brant North,41.1,40.4,41.8,0.2,103720,41.7,43.5,39.9,1,3.6,48400,58000,41600,8.7,7.9,9.7,Flamborough—Glanbrook—Brant North,Ontario,Dan,Muys,Conservative
321,Fleetwood--Port Kells,40.1,39.2,41,0.3,117420,48.8,49.7,47.9,0.4,10.1,36400,41200,32400,8.4,7.7,9.2,Fleetwood—Port Kells,British Columbia,Gurbux,Saini,Liberal
294,Foothills,42.6,41.9,43.3,0.4,114995,46.4,47.2,45.7,1.1,4.5,42400,52800,35600,9.1,9.1,9,Foothills,Alberta,John,Barlow,Conservative
295,Fort McMurray--Cold Lake,34.4,34.7,34.2,0.3,110515,45.6,45.1,46.2,2.6,3.5,61200,88000,42400,9.5,8.4,10.9,Fort McMurray—Cold Lake,Alberta,Laila,Goodridge,Conservative
30,Fredericton--Oromocto,40.7,39.3,42.1,1.2,84990,39.5,42.3,36.8,7.3,2.8,42000,48400,37600,7.9,8.2,7.7,Fredericton—Oromocto,New Brunswick,David,Myles,Liberal
31,Fundy Royal,44.1,43.2,44.9,0.3,73565,50,51.7,48.3,4.8,3,38800,44000,34000,9.5,10.1,8.8,Fundy Royal,New Brunswick,Rob,Moore,Conservative
62,Gaspésie--Les Îles-de-la-Madeleine--Listuguj,48.9,48.2,49.6,0.3,110225,48.9,50,47.9,91.6,2.7,36400,40000,33200,10.9,12.6,9,Gaspésie—Les Îles-de-la-Madeleine—Listuguj,Quebec,Alexis,Deschênes,Bloc Québécois
63,Gatineau,41.8,40.7,42.8,0.7,109320,44.5,46.2,42.9,79.7,1.6,46000,48800,43600,9.4,9.6,9.2,Gatineau,Quebec,Steven,MacKinnon,Liberal
296,Grande Prairie,36.3,36,36.6,0.5,112905,54,55.4,52.6,1.8,6.9,48000,63200,38000,11.3,11.3,11.4,Grande Prairie,Alberta,Chris,Warkentin,Conservative
150,Guelph,40.6,39.1,41.9,1.2,118690,42.4,44.5,40.5,1.1,5.5,43600,49200,39200,11,9.9,12.2,Guelph,Ontario,Dominique,O'Rourke,Liberal
151,Haldimand--Norfolk,44.3,43.5,45.1,0.2,116705,51.8,54.3,49.2,0.8,2.9,40800,48800,34400,9.4,8.4,10.6,Haldimand—Norfolk,Ontario,Leslyn,Lewis,Conservative
152,Haliburton--Kawartha Lakes,48.3,47.5,49.2,0.3,119150,49.3,50.7,48,0.9,6.4,39600,45600,34800,11,10.4,11.6,Haliburton—Kawartha Lakes,Ontario,Jamie,Schmale,Conservative
21,Halifax,39.3,38.2,40.4,2.2,98880,31.7,33,30.4,2,6,38400,40400,36400,13.8,12.8,14.9,Halifax,Nova Scotia,Shannon,Miedema,Liberal
22,Halifax West,40.8,39.5,41.9,0.3,100350,35.8,37.5,34.1,2,4.6,41600,46400,38400,10.8,9.9,11.6,Halifax West,Nova Scotia,Lena Metlege,Diab,Liberal
153,Hamilton Centre,40.4,39.9,41,1.5,126190,48.9,51.5,46.2,1.4,8.9,36000,38400,34400,13.9,13.6,14.2,Hamilton Centre,Ontario,Aslam,Rana,Liberal
154,Hamilton East--Stoney Creek,41.3,40.2,42.4,0.3,126690,49,50.3,47.8,1,5.6,40000,45200,35200,12.9,12,13.8,Hamilton East—Stoney Creek,Ontario,Ned,Kuruc,Conservative
155,Hamilton Mountain,42,40.4,43.5,0.3,115635,49,50.9,47.3,1,5.1,39200,43600,35600,13.3,12.8,13.9,Hamilton Mountain,Ontario,Lisa,Hepfner,Liberal
156,Hamilton West--Ancaster--Dundas,42.8,41.3,44.2,0.8,120505,35.9,36.6,35.2,0.9,4.4,44000,50000,39600,11.8,11.4,12.1,Hamilton West—Ancaster—Dundas,Ontario,John-Paul,Danko,Liberal
157,Hastings--Lennox and Addington--Tyendinaga,45.8,45,46.6,0.2,106475,49.7,52.2,47.2,1.5,5.1,39600,45200,34800,10.2,9.9,10.6,Hastings—Lennox and Addington—Tyendinaga,Ontario,Shelby,Kramp-Neuman,Conservative
64,Hochelaga--Rosemont-Est,41.1,40.1,42.2,4.7,110060,33.6,34,33.2,70.1,3,38400,39600,36800,9.2,9.6,8.8,Hochelaga—Rosemont-Est,Quebec,Marie-Gabrielle,Ménard,Liberal
65,Honoré-Mercier,42.8,41.3,44.2,0.6,105435,43.6,44.2,43.1,44.9,2.5,38400,40800,36400,8.6,8.9,8.4,Honoré-Mercier,Quebec,Eric,St-Pierre,Liberal
66,Hull--Aylmer,41.4,40.2,42.6,2.2,105560,36.3,37.6,35.1,60.5,1.7,45600,47200,44000,10.3,10,10.5,Hull—Aylmer,Quebec,Greg,Fergus,Liberal
158,Humber River--Black Creek,39.4,38.2,40.6,0.4,111595,58.9,60.4,57.5,0.5,13.3,31400,33200,30400,17.8,16.3,19.4,Humber River—Black Creek,Ontario,Judy A.,Sgro,Liberal
159,Huron--Bruce,44.3,43.5,45.1,0.7,112930,48.3,49.9,46.8,0.8,2.4,42400,51600,35600,6.9,5.5,8.6,Huron—Bruce,Ontario,Ben,Lobb,Conservative
67,Joliette--Manawan,45.4,44.4,46.3,0.9,104735,47.1,48,46.3,92.3,2.2,38000,41600,34000,7.4,7.5,7.3,Joliette—Manawan,Quebec,Gabriel,Ste-Marie,Bloc Québécois
