,riding,Ave_Age_All,Ave_Age_Male,Ave_Age_Female,bike_rate,pop,NoPostsecondary_all,NoPostsecondary_male,NoPostsecondary_female,french,HouseNeed,income_all,income_male,income_female,unemploy_all,unemploy_male,unemploy_female,Constituency,Province / Territory,First Name,Last Name,Political Affiliation
177,Milton East--Halton Hills South,37.4,36.7,38.1,0.3,116730,38.2,39.1,37.2,1.3,6.1,49200,58400,42800,10.8,9.8,11.9,Milton East—Halton Hills South,Ontario,Kristina,Tesser Derksen,Liberal
85,Mirabel,38.4,38.1,38.6,0.5,100600,41.4,42.7,40.1,89.3,2,46000,53200,40800,5.4,5.3,5.6,Mirabel,Quebec,Jean-Denis,Garon,Bloc Québécois
33,Miramichi--Grand Lake,47.1,46.3,47.9,0.2,59725,56.4,58.7,54.1,18.6,4.5,34800,38400,31200,15.6,20,11,Miramichi—Grand Lake,New Brunswick,Mike,Dawson,Conservative
326,Mission--Matsqui--Abbotsford,39.6,39,40.2,0.3,118545,53,54.8,51.2,0.6,4.4,40400,49600,34000,6.7,6.3,7.2,Mission—Matsqui—Abbotsford,British Columbia,Brad,Vis,Conservative
180,Mississauga--Erin Mills,39.9,39,40.8,0.3,120240,34.3,34.3,34.4,0.8,9.1,39600,44400,35600,14.3,12.8,15.9,Mississauga Centre,Ontario,Fares,Al Soud,Liberal
181,Mississauga--Lakeshore,43.1,42,44.2,0.5,119935,38.3,39.2,37.5,1.3,7.7,45200,50000,41200,12.2,11.3,13.3,Mississauga East—Cooksville,Ontario,Peter,Fonseca,Liberal
182,Mississauga--Malton,39.1,38.3,39.9,0.3,119745,42.6,42.5,42.6,0.6,9.2,35200,38000,32800,15,13,17.3,Mississauga—Erin Mills,Ontario,Iqra,Khalid,Liberal
183,Mississauga--Streetsville,40.9,39.9,41.9,0.2,113765,35.9,35.5,36.2,1.1,6.7,43200,48800,39200,13.1,11.8,14.6,Mississauga—Lakeshore,Ontario,Charles,Sousa,Liberal
178,Mississauga Centre,41,40,41.9,0.2,124085,37,36.5,37.4,0.6,13.1,36400,40800,33200,14.9,12.8,17.4,Mississauga—Malton,Ontario,Iqwinder,Gaheer,Liberal
179,Mississauga East--Cooksville,42.7,41.5,43.9,0.4,120195,43,43.4,42.6,0.8,12.4,37200,41200,34000,14.2,12.2,16.4,Mississauga—Streetsville,Ontario,Rechie,Valdez,Liberal
34,Moncton--Dieppe,42.1,40.9,43.1,0.8,91990,42.9,45.2,40.8,31.3,3.7,38400,41600,35600,8.9,9.5,8.2,Moncton—Dieppe,New Brunswick,Ginette,Petitpas Taylor,Liberal
87,Mont-Saint-Bruno--L’Acadie,41.5,40.6,42.3,1.1,111320,31.8,32,31.7,83.6,1.6,51200,59200,44800,5.2,5.1,5.3,Mont-Saint-Bruno—L'Acadie,Quebec,Bienvenu-Olivier,Ntumba,Liberal
88,Montcalm,39.5,38.9,40,0.4,111955,45.2,47,43.4,92.8,2,43200,48800,37600,5.7,5.7,5.7,Montcalm,Quebec,Luc,Thériault,Bloc Québécois
89,Montmorency--Charlevoix,43.8,43.4,44.2,0.4,101060,37.3,36.8,37.8,96.9,1.5,45200,50400,40800,6.2,5.9,6.5,Montmorency—Charlevoix,Quebec,Gabriel,Hardy,Conservative
259,Moose Jaw--Lake Centre--Lanigan,42.7,41.8,43.5,0.7,83315,50.8,53.8,47.8,1.4,5.5,42800,50800,36800,7.1,7.2,6.9,Moose Jaw—Lake Centre—Lanigan,Saskatchewan,Fraser,Tolmie,Conservative
86,Mount Royal,41.1,39.4,42.7,1.3,112705,30.7,32,29.5,22.4,3.6,36400,38000,34800,11,10.6,11.4,Mount Royal,Quebec,Anthony,Housefather,Liberal
327,Nanaimo--Ladysmith,45.5,44.5,46.5,1.3,122855,44.4,46.1,42.9,1.2,5.7,39600,44400,36000,8.2,8.4,8,Nanaimo—Ladysmith,British Columbia,Tamara,Kronis,Conservative
184,Nepean,38.1,37.3,38.8,0.6,122305,33.9,35.1,32.7,5.8,4.5,50800,58000,45600,10.2,8.7,11.7,Nepean,Ontario,Mark,Carney,Liberal
186,New Tecumseth--Gwillimbury,39.3,38.6,39.9,0.3,119360,46.9,48.8,45,0.9,7.7,44800,52800,38400,10.7,8.7,13,New Tecumseth—Gwillimbury,Ontario,Scot,Davidson,Conservative
328,New Westminster--Burnaby--Maillardville,42.2,41.1,43.2,0.9,114640,38.1,39.8,36.6,1,10.9,43200,48000,39200,8.6,8.2,9,New Westminster—Burnaby—Maillardville,British Columbia,Jake,Sawatzky,Liberal
185,Newmarket--Aurora,40.2,39.1,41.3,0.4,117700,38.5,39.8,37.3,1,7.8,42800,48800,38800,12.3,10.9,13.7,Newmarket—Aurora,Ontario,Sandra,Cobena,Conservative
187,Niagara Falls--Niagara-on-the-Lake,45.1,43.9,46.3,0.6,113500,47.2,47.8,46.6,1.6,5.4,36400,40400,33600,21.4,20.3,22.6,Niagara Falls—Niagara-on-the-Lake,Ontario,Tony,Baldinelli,Conservative
188,Niagara South,44.5,43.4,45.5,0.6,132500,51.3,53,49.6,4.2,5.2,37600,42800,33600,14.8,13.3,16.4,Niagara South,Ontario,Fred,Davies,Conservative
189,Niagara West,43.2,42.3,44.1,0.4,112065,42.8,44.5,41.2,1.4,3.9,44400,53600,37600,10.3,8.9,11.9,Niagara West,Ontario,Dean,Allison,Conservative
190,Nipissing--Timiskaming,44.5,43.6,45.4,0.6,98285,46.6,49.6,43.7,14.3,4.7,39600,44800,35200,10.8,10.4,11.1,Nipissing—Timiskaming,Ontario,Pauline,Rochefort,Liberal
329,North Island--Powell River,47.4,46.7,48.1,1.9,125775,47.1,48.1,46,1.9,6.3,39200,46000,34000,8.7,9.5,7.9,North Island—Powell River,British Columbia,Aaron,Gunn,Conservative
330,North Vancouver--Capilano,43.8,42.5,44.9,2.2,116055,31,32.2,30.1,1.5,10.2,45200,52000,40800,8.1,7.6,8.6,North Vancouver—Capilano,British Columbia,Jonathan,Wilkinson,Liberal
191,Northumberland--Clarke,47,46,48,0.3,106575,47.2,48.6,45.8,1.3,4.5,41600,48800,35600,10.7,10.2,11.4,Northumberland—Clarke,Ontario,Philip,Lawrence,Conservative
355,Northwest Territories,36.4,36.4,36.3,1.5,41070,50.1,52.8,47.5,2.8,8.2,56800,58800,55200,8.7,9.8,7.4,Northwest Territories,Northwest Territories,Rebecca,Alty,Liberal
90,Notre-Dame-de-Grâce--Westmount,41.9,40.3,43.3,3.7,111375,25.5,26.6,24.5,25.7,2.9,40000,41600,38400,10.1,10.3,9.9,Notre-Dame-de-Grâce—Westmount,Quebec,Anna,Gainey,Liberal
